type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,277,16193,1664,62432,364463
1,0,41.2,buildings,83,5384,505,21698,205284
2,1,41.20.1,buildings_excluding_prefabricated_construction,82,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,77,6395,679,26820,97911
5,4,42.1,roads_and_railways,33,3577,369,16052,54337
6,5,42.11,roads,22,1618,207,7333,25183
7,5,42.12,railways,9,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2500,285,9167,30621
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1452,168,5625,17709
11,9,42.22,cable_network_construction,17,1048,117,3542,12913
12,4,42.9,other_underground_construction,5,318,26,1602,12953
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,708,84,2359,12071
16,15,43.11,demolition_work,12,397,44,987,4340
17,15,43.12,preprartory_site_work,3,311,40,1371,7730
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,102,3706,394,11555,49198
20,19,43.91,roofing_and_carpentry,38,1287,130,4005,17553
21,20,43.91.1,roofing_and_plumbing,36,0,0,0,0
22,20,43.91.2,carpentry_and_timber_engineering,2,0,0,0,0
23,19,43.99,still_other_specialized_construction_work,64,2419,264,7550,31645
24,23,43.99.1,scaffolding,15,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,48,1909,210,5680,23783
