month,companies,employees_in_construction_industry,salaries
Januar,280,16380,54712
Februar,280,16334,54353
März,280,16420,58682
April,280,16294,61062
Mai,280,16088,62673
Juni,278,16110,62356
Juli,277,16193,62432
August,275,16060,60875
September,276,16306,60453
Oktober,...,...,...
November,...,...,...
Dezember,...,...,...
