type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,275,16219,1791,71847,416002
1,0,41.2,buildings,81,5214,536,22913,212902
2,1,41.20.1,buildings_excluding_prefabricated_construction,80,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,78,6607,749,32007,135570
5,4,42.1,roads_and_railways,34,3758,424,18461,77290
6,5,42.11,roads,22,1673,223,8119,35745
7,5,42.12,railways,10,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2532,292,11140,46160
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1458,165,6285,26117
11,9,42.22,cable_network_construction,17,1074,127,4855,20043
12,4,42.9,other_underground_construction,5,317,33,2406,12121
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,715,88,2833,14690
16,15,43.11,demolition_work,12,413,48,1175,4278
17,15,43.12,preprartory_site_work,3,302,40,1657,10412
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,101,3683,419,14095,52841
20,19,43.91,roofing_and_carpentry,37,1261,126,5244,19680
21,20,43.91.1,roofing_and_plumbing,35,0,0,0,0
22,20,43.91.2,carpentry_and_timber_engineering,2,0,0,0,0
23,19,43.99,still_other_specialized_construction_work,64,2422,293,8851,33161
24,23,43.99.1,scaffolding,15,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,48,1912,231,6792,24767
