period,companies,employees,working_hours,salaries,turnover_total,turnover_building_construction
Ausbaugewerbe,,,,,,
43.2,Bauinstallation,,260,15491,5305,159667
43.21,,Elektroinstallation,88,4464,1526,44150
43.22,,"Gas-, Wasser-, Heizungs-, Lüftungs-u. Klimainstallation",120,7009,2357,74232
43.29.1,,"Dämmung gegen Kälte, Wärme,Schall und Erschütterung",22,2027,774,13369
43.29.9,,Sonstige Bauinstallation a.n.g.,30,1991,649,27917
43.3,Sonstiger Ausbau,,148,5120,1602,41363
43.31,,"Anbringen von Stuckaturen, Gipserei und Verputzerei",39,1275,379,10060
43.32,,Bautischlerei und -schlosserei,23,667,218,5854
43.33,,"Fußboden-, Fliesen-, Plattenlegerei, Tapeziererei",32,1022,291,7285
43.34.1,,Maler- und Lackierergewerbe,52,•,•,•
43.34.2,,Glasergewerbe,1,•,•,•
43.39,,Sonstiger Ausbau a.n.g.,1,•,•,•
