wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,287,16602,1702,58811,326948
41.2,Bau von Gebäuden,92,5901,579,21626,174007
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),91,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,79,6393,687,24174,92079
42.1,Bau von Straßen und  Bahnverkehrsstrecken,35,3475,371,14569,53269
42.11,Bau von Straßen,23,1606,187,6226,18598
42.12,Bau von Bahnverkehrsstrecken,10,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2596,289,8157,27688
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1490,167,4927,18859
42.22,Kabelnetzleitungstiefbau,17,1106,123,3230,8828
42.9,Sonstiger Tiefbau,5,322,27,1448,11122
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,604,68,2066,14391
43.11,Abbrucharbeiten,11,356,40,844,4506
43.12,Vorbereitende Baustellenarbeiten,4,248,28,1223,9885
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,101,3704,368,10945,46471
43.91,Dachdeckerei und Zimmerei,42,1496,144,4421,19520
43.91.1,Dachdeckerei und Bauspenglerei,38,1396,133,4146,18036
43.91.2,Zimmerei und Ingenieurholzbau,4,100,11,275,1485
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,59,2208,224,6524,26951
43.99.1,Gerüstbau,13,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,45,1748,179,5091,21557
