type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,288,16527,1408,54271,217299
1,0,41.2,buildings,93,5838,512,20384,121595
2,1,41.20.1,buildings_excluding_prefabricated_construction,92,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,79,6400,527,21902,55880
5,4,42.1,roads_and_railways,35,3592,262,13118,25931
6,5,42.11,roads,23,1601,133,4657,10567
7,5,42.12,railways,10,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2494,242,7436,23253
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1481,142,4572,15716
11,9,42.22,cable_network_construction,17,1013,100,2864,7537
12,4,42.9,other_underground_construction,5,314,23,1348,6697
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,548,55,1699,5390
16,15,43.11,demolition_work,11,339,40,804,2519
17,15,43.12,preprartory_site_work,4,209,15,895,2871
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,101,3741,315,10286,34433
20,19,43.91,roofing_and_carpentry,42,1493,125,4012,13622
21,20,43.91.1,roofing_and_plumbing,38,1392,113,3776,12890
22,20,43.91.2,carpentry_and_timber_engineering,4,101,12,236,732
23,19,43.99,still_other_specialized_construction_work,59,2248,189,6275,20811
24,23,43.99.1,scaffolding,13,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,45,1756,153,4754,15571
