wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,288,16382,1470,53069,267863
41.2,Bau von Gebäuden,93,5795,530,20012,164388
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),92,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,79,6352,554,21591,52792
42.1,Bau von Straßen und  Bahnverkehrsstrecken,35,3472,287,12690,26935
42.11,Bau von Straßen,23,1607,150,4790,14066
42.12,Bau von Bahnverkehrsstrecken,10,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2565,245,7555,19452
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1483,148,4505,13754
42.22,Kabelnetzleitungstiefbau,17,1082,97,3050,5698
42.9,Sonstiger Tiefbau,5,315,22,1346,6406
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,582,60,1687,11978
43.11,Abbrucharbeiten,11,340,35,780,3931
43.12,Vorbereitende Baustellenarbeiten,4,242,25,907,8046
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,101,3653,326,9780,38705
43.91,Dachdeckerei und Zimmerei,42,1481,128,3920,15376
43.91.1,Dachdeckerei und Bauspenglerei,38,1382,116,3704,14496
43.91.2,Zimmerei und Ingenieurholzbau,4,99,12,216,880
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,59,2172,199,5860,23329
43.99.1,Gerüstbau,13,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,45,1723,160,4500,19036
