type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,279,16463,1746,60712,361130
1,0,41.2,buildings,88,5735,559,22253,200800
2,1,41.20.1,buildings_excluding_prefabricated_construction,87,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,77,6513,728,25030,96874
5,4,42.1,roads_and_railways,33,3562,386,14151,50326
6,5,42.11,roads,22,1668,213,6443,26932
7,5,42.12,railways,9,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2623,315,9286,34224
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1493,182,5492,20686
11,9,42.22,cable_network_construction,17,1130,133,3794,13538
12,4,42.9,other_underground_construction,5,328,27,1592,12324
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,619,74,2225,16213
16,15,43.11,demolition_work,11,342,44,988,6472
17,15,43.12,preprartory_site_work,4,277,30,1237,9741
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,99,3596,386,11205,47244
20,19,43.91,roofing_and_carpentry,40,1400,153,4205,18488
21,20,43.91.1,roofing_and_plumbing,37,1327,143,4006,18197
22,20,43.91.2,carpentry_and_timber_engineering,3,73,9,200,290
23,19,43.99,still_other_specialized_construction_work,59,2196,233,6999,28756
24,23,43.99.1,scaffolding,13,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,45,1722,187,5405,21084
