period,companies,employees,working_hours,salaries,turnover_total,turnover_building_construction
Ausbaugewerbe,,,,,,
43.2,Bauinstallation,,261,14855,4945,143102
43.21,,Elektroinstallation,86,4113,1374,37778
43.22,,"Gas-, Wasser-, Heizungs-, Lüftungs-u. Klimainstallation",124,6849,2218,66065
43.29.1,,"Dämmung gegen Kälte, Wärme,Schall und Erschütterung",22,1969,740,13243
43.29.9,,Sonstige Bauinstallation a.n.g.,29,1924,614,26016
43.3,Sonstiger Ausbau,,138,4876,1531,39782
43.31,,"Anbringen von Stuckaturen, Gipserei und Verputzerei",42,1376,392,10471
43.32,,Bautischlerei und -schlosserei,21,617,191,5153
43.33,,"Fußboden-, Fliesen-, Plattenlegerei, Tapeziererei",25,714,219,5363
43.34.1,,Maler- und Lackierergewerbe,46,1903,649,15712
43.34.2,,Glasergewerbe,2,•,•,•
43.39,,Sonstiger Ausbau a.n.g.,2,•,•,•
