period,companies,employees,working_hours,salaries,turnover_total,turnover_building_construction
2020,,,,,,
1. Vj.,331,17509,5957,143541,482559,477557
2. Vj.,327,17483,5812,149172,511553,505049
3. Vj.,325,17761,5998,151529,577470,571365
4. Vj.,324,17730,6011,158194,736039,727661
2020,327,17621,23778,602436,2307621,2281632
2021²,,,,,,
1. Vj.,405,19826,6501,165495,513201,507324
2. Vj.,404,19692,6434,172565,601580,594921
3. Vj.,401,19758,6589,172817,676436,670702
4. Vj.,399,19731,6477,182884,804473,792414
2021,402,19752,26001,693761,2595690,2565361
