wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,280,16088,1661,62673,347613
41.2,Bau von Gebäuden,86,5327,525,20837,188026
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),85,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,77,6363,675,27591,98989
42.1,Bau von Straßen und  Bahnverkehrsstrecken,33,3536,356,16804,52638
42.11,Bau von Straßen,22,1600,186,7509,25448
42.12,Bau von Bahnverkehrsstrecken,9,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2504,293,9019,32361
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1462,166,5482,18505
42.22,Kabelnetzleitungstiefbau,17,1042,126,3536,13856
42.9,Sonstiger Tiefbau,5,323,27,1769,13990
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,691,79,2528,9869
43.11,Abbrucharbeiten,12,393,44,1086,2679
43.12,Vorbereitende Baustellenarbeiten,3,298,36,1442,7189
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,102,3707,381,11717,50731
43.91,Dachdeckerei und Zimmerei,38,1289,133,4120,16447
43.91.1,Dachdeckerei und Bauspenglerei,36,•,•,•,•
43.91.2,Zimmerei und Ingenieurholzbau,2,•,•,•,•
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,64,2418,248,7597,34284
43.99.1,Gerüstbau,15,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,48,1915,198,5865,27162
