wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,277,16193,1664,62432,364463
41.2,Bau von Gebäuden,83,5384,505,21698,205284
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),82,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,77,6395,679,26820,97911
42.1,Bau von Straßen und  Bahnverkehrsstrecken,33,3577,369,16052,54337
42.11,Bau von Straßen,22,1618,207,7333,25183
42.12,Bau von Bahnverkehrsstrecken,9,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2500,285,9167,30621
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1452,168,5625,17709
42.22,Kabelnetzleitungstiefbau,17,1048,117,3542,12913
42.9,Sonstiger Tiefbau,5,318,26,1602,12953
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,708,84,2359,12071
43.11,Abbrucharbeiten,12,397,44,987,4340
43.12,Vorbereitende Baustellenarbeiten,3,311,40,1371,7730
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,102,3706,394,11555,49198
43.91,Dachdeckerei und Zimmerei,38,1287,130,4005,17553
43.91.1,Dachdeckerei und Bauspenglerei,36,•,•,•,•
43.91.2,Zimmerei und Ingenieurholzbau,2,•,•,•,•
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,64,2419,264,7550,31645
43.99.1,Gerüstbau,15,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,48,1909,210,5680,23783
