month,working_days,working_hours_total,working_hours_building_construction,working_hours_commercial_and_industrial_building_construction,working_hours_public_building_construction,working_hours_civil_engineering,working_hours_commercial_and_industrial_civil_engineering,working_hours_road_construction,working_hours_other_civil_engineering
Januar,22,1438,784,519,193,72,654,366,170
Februar,20,1461,787,520,190,78,674,367,196
März,22,1704,900,591,225,83,804,467,206
April,18,1528,779,504,188,86,748,391,218
Mai,20,1661,854,580,190,85,806,449,232
Juni,22,1755,880,589,200,92,875,471,268
Juli,21,1664,856,569,197,90,808,410,255
August,23,...,...,...,...,...,...,...,...
September,21,...,...,...,...,...,...,...,...
Oktober,21,...,...,...,...,...,...,...,...
November,22,...,...,...,...,...,...,...,...
Dezember,19,...,...,...,...,...,...,...,...
