type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,288,16382,1470,53069,267863
1,0,41.2,buildings,93,5795,530,20012,164388
2,1,41.20.1,buildings_excluding_prefabricated_construction,92,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,79,6352,554,21591,52792
5,4,42.1,roads_and_railways,35,3472,287,12690,26935
6,5,42.11,roads,23,1607,150,4790,14066
7,5,42.12,railways,10,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2565,245,7555,19452
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1483,148,4505,13754
11,9,42.22,cable_network_construction,17,1082,97,3050,5698
12,4,42.9,other_underground_construction,5,315,22,1346,6406
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,582,60,1687,11978
16,15,43.11,demolition_work,11,340,35,780,3931
17,15,43.12,preprartory_site_work,4,242,25,907,8046
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,101,3653,326,9780,38705
20,19,43.91,roofing_and_carpentry,42,1481,128,3920,15376
21,20,43.91.1,roofing_and_plumbing,38,1382,116,3704,14496
22,20,43.91.2,carpentry_and_timber_engineering,4,99,12,216,880
23,19,43.99,still_other_specialized_construction_work,59,2172,199,5860,23329
24,23,43.99.1,scaffolding,13,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,45,1723,160,4500,19036
