type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,282,16194,1693,60920,339155
1,0,41.2,buildings,89,5667,561,22355,186376
2,1,41.20.1,buildings_excluding_prefabricated_construction,88,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,78,6413,707,26138,92187
5,4,42.1,roads_and_railways,34,3489,383,15179,47273
6,5,42.11,roads,22,1602,206,6814,19563
7,5,42.12,railways,10,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2605,298,9345,29684
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1485,170,5657,18498
11,9,42.22,cable_network_construction,17,1120,128,3687,11185
12,4,42.9,other_underground_construction,5,319,26,1614,15230
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,580,66,1951,12878
16,15,43.11,demolition_work,11,325,39,867,3619
17,15,43.12,preprartory_site_work,4,255,26,1084,9259
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,100,3534,360,10477,47714
20,19,43.91,roofing_and_carpentry,41,1355,139,3910,19167
21,20,43.91.1,roofing_and_plumbing,38,1289,131,3718,18822
22,20,43.91.2,carpentry_and_timber_engineering,3,66,8,193,345
23,19,43.99,still_other_specialized_construction_work,59,2179,221,6566,28548
24,23,43.99.1,scaffolding,13,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,45,1712,177,5005,22023
