type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,275,16060,1689,60875,378201
1,0,41.2,buildings,81,5234,518,20633,210088
2,1,41.20.1,buildings_excluding_prefabricated_construction,80,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,77,6407,695,26039,105961
5,4,42.1,roads_and_railways,33,3585,380,15488,62406
6,5,42.11,roads,22,1631,209,6611,28207
7,5,42.12,railways,9,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2506,289,9255,31488
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1475,173,5710,19374
11,9,42.22,cable_network_construction,17,1031,116,3545,12115
12,4,42.9,other_underground_construction,5,316,26,1296,12066
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,723,79,2424,9399
16,15,43.11,demolition_work,12,423,38,1035,3730
17,15,43.12,preprartory_site_work,3,300,41,1390,5669
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,102,3696,398,11778,52753
20,19,43.91,roofing_and_carpentry,38,1282,134,4164,21718
21,20,43.91.1,roofing_and_plumbing,36,0,0,0,0
22,20,43.91.2,carpentry_and_timber_engineering,2,0,0,0,0
23,19,43.99,still_other_specialized_construction_work,64,2414,264,7614,31035
24,23,43.99.1,scaffolding,15,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,48,1904,213,5848,23285
