month,turnover,turnover_total,turnover_building_construction,turnover_commercial_and_industrial_building_construction,turnover_public_building_construction,turnover_civil_engineering,turnover_commercial_and_industrial_civil_engineering,turnover_road_construction,turnover_other_civil_engineering
Januar,243292,243242,164002,101604,45319,17080,79240,40519,13151
Februar,250143,250002,171737,108091,39926,23719,78266,46202,18945
März,355205,355033,228477,147550,52782,28146,126555,88322,20471
April,302654,302535,194781,123088,42979,28713,107754,62444,29061
Mai,347923,347613,224886,146041,45789,33057,122727,75810,30521
Juni,376730,376624,252317,169671,58132,24514,124307,73615,30080
Juli,364721,364463,241851,175402,45285,21164,122612,67879,31627
August,378422,378201,255562,179913,50299,25350,122639,72181,35732
September,379647,379535,250756,178577,51773,20407,128779,74889,35505
Oktober,373593,373379,245668,172528,52935,20204,127712,69522,31564
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
