month,order_intake,order_intake_total,order_intake_building_construction,order_intake_commercial_and_industrial_building_construction,order_intake_public_building_construction,order_intake_civil_engineering,order_intake_commercial_and_industrial_civil_engineering,order_intake_road_construction,order_intake_other_civil_engineering
Januar,167513,77415,37619,24754,15043,90098,47950,14647,27502
Februar,311603,141862,74290,59195,8377,169741,121414,33198,15130
März,396292,268774,62218,195695,10861,127518,74070,37040,16408
April,219938,137856,73346,53853,10656,82082,45041,20495,16546
Mai,284564,168208,96447,32863,38898,116357,69756,28545,18056
Juni,358939,246026,218592,20528,6905,112914,59827,25563,27523
Juli,230512,142609,95787,32532,14290,87903,52528,25657,9718
August,257833,154554,56144,84731,13679,103279,46789,24056,32434
September,219254,131835,50297,74775,6762,87419,57200,25003,5216
Oktober,202484,126056,95307,23882,6867,76428,49260,18771,8397
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
