type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,282,16180,1665,59369,335933
1,0,41.2,buildings,89,5620,530,21919,178359
2,1,41.20.1,buildings_excluding_prefabricated_construction,88,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,78,6441,700,24921,94805
5,4,42.1,roads_and_railways,34,3530,370,14481,49243
6,5,42.11,roads,22,1609,200,6069,22701
7,5,42.12,railways,10,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2592,304,8896,29421
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1483,175,5292,18209
11,9,42.22,cable_network_construction,17,1109,129,3603,11212
12,4,42.9,other_underground_construction,5,319,26,1544,16142
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,577,68,1960,14863
16,15,43.11,demolition_work,11,323,40,893,4592
17,15,43.12,preprartory_site_work,4,254,28,1067,10271
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,100,3542,367,10569,47904
20,19,43.91,roofing_and_carpentry,41,1364,139,3977,18371
21,20,43.91.1,roofing_and_plumbing,38,1293,129,3775,17351
22,20,43.91.2,carpentry_and_timber_engineering,3,71,9,202,1020
23,19,43.99,still_other_specialized_construction_work,59,2178,228,6592,29533
24,23,43.99.1,scaffolding,13,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,45,1716,183,5033,21965
