period,companies,employees,working_hours,salaries,turnover_total,turnover_building_construction
2022,,,,,,
1. Vj.,411,20282,6694,177833,595284,589180
2. Vj.,412,20562,6804,186368,692863,685385
3. Vj.,411,20595,6846,188021,748175,740098
4. Vj.,408,20535,6718,196508,877401,864916
2022,411,20494,27062,748730,2913723,2879579
2023,,,,,,
1. Vj.,409,20697,7031,193513,700735,693577
2. Vj.,408,20611,6907,201030,749596,738491
3. Vj.,...,...,...,...,...,...
4. Vj.,...,...,...,...,...,...
2023,...,...,...,...,...,...
