wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,278,16281,1785,69420,400710
41.2,Bau von Gebäuden,89,5645,580,24115,197765
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),88,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,77,6526,753,29873,130604
42.1,Bau von Straßen und  Bahnverkehrsstrecken,33,3565,408,16944,72637
42.11,Bau von Straßen,22,1652,219,7914,32350
42.12,Bau von Bahnverkehrsstrecken,9,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2634,315,10897,36626
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1489,177,6124,23085
42.22,Kabelnetzleitungstiefbau,17,1145,138,4773,13541
42.9,Sonstiger Tiefbau,5,327,30,2032,21341
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,647,79,2423,20113
43.11,Abbrucharbeiten,11,339,44,978,12795
43.12,Vorbereitende Baustellenarbeiten,4,308,35,1445,7318
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,97,3463,373,13008,52228
43.91,Dachdeckerei und Zimmerei,39,1335,141,5218,21087
43.91.1,Dachdeckerei und Bauspenglerei,36,1264,132,5002,20567
43.91.2,Zimmerei und Ingenieurholzbau,3,71,9,216,520
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,58,2128,232,7790,31140
43.99.1,Gerüstbau,13,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,44,1670,187,5858,24102
