wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,284,16547,1569,59415,339874
41.2,Bau von Gebäuden,91,5892,515,21373,205458
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),90,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,78,6398,642,25801,73435
42.1,Bau von Straßen und  Bahnverkehrsstrecken,34,3481,338,15366,37869
42.11,Bau von Straßen,22,1592,173,6285,18311
42.12,Bau von Bahnverkehrsstrecken,10,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2599,282,8478,27541
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1482,154,5093,16209
42.22,Kabelnetzleitungstiefbau,17,1117,128,3385,11332
42.9,Sonstiger Tiefbau,5,318,22,1956,8025
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,604,65,1912,14932
43.11,Abbrucharbeiten,11,355,39,864,3952
43.12,Vorbereitende Baustellenarbeiten,4,249,26,1048,10980
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,100,3653,347,10329,46050
43.91,Dachdeckerei und Zimmerei,41,1460,140,4044,19162
43.91.1,Dachdeckerei und Bauspenglerei,38,1387,132,3859,18841
43.91.2,Zimmerei und Ingenieurholzbau,3,73,8,185,321
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,59,2193,207,6285,26888
43.99.1,Gerüstbau,13,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,45,1721,163,4798,20539
