wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,280,16420,1704,58682,355033
41.2,Bau von Gebäuden,86,5666,573,20391,191791
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),85,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,77,6377,683,24539,108808
42.1,Bau von Straßen und  Bahnverkehrsstrecken,33,3529,362,14279,41287
42.11,Bau von Straßen,22,1607,171,5699,15909
42.12,Bau von Bahnverkehrsstrecken,9,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2526,292,8267,51844
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1485,168,4845,19509
42.22,Kabelnetzleitungstiefbau,17,1041,124,3423,32335
42.9,Sonstiger Tiefbau,5,322,29,1993,15676
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,653,75,2660,11498
43.11,Abbrucharbeiten,12,353,42,914,5151
43.12,Vorbereitende Baustellenarbeiten,3,300,33,1746,6347
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,102,3724,373,11093,42936
43.91,Dachdeckerei und Zimmerei,38,1307,127,3860,15050
43.91.1,Dachdeckerei und Bauspenglerei,36,•,•,•,•
43.91.2,Zimmerei und Ingenieurholzbau,2,•,•,•,•
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,64,2417,246,7233,27886
43.99.1,Gerüstbau,15,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,48,1918,196,5585,21265
