period,companies,employees,working_hours,salaries,turnover_total,turnover_building_construction
Ausbaugewerbe,,,,,,
43.2,Bauinstallation,,268,15457,5223,146922
43.21,,Elektroinstallation,87,4306,1507,41481
43.22,,"Gas-, Wasser-, Heizungs-, Lüftungs-u. Klimainstallation",130,7141,2338,66238
43.29.1,,"Dämmung gegen Kälte, Wärme,Schall und Erschütterung",21,2069,756,12814
43.29.9,,Sonstige Bauinstallation a.n.g.,30,1941,623,26390
43.3,Sonstiger Ausbau,,144,5105,1580,39446
43.31,,"Anbringen von Stuckaturen, Gipserei und Verputzerei",38,1368,397,10256
43.32,,Bautischlerei und -schlosserei,23,661,212,5393
43.33,,"Fußboden-, Fliesen-, Plattenlegerei, Tapeziererei",27,817,257,5444
43.34.1,,Maler- und Lackierergewerbe,52,2000,639,15904
43.34.2,,Glasergewerbe,2,•,•,•
43.39,,Sonstiger Ausbau a.n.g.,2,•,•,•
