wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,281,16234,1682,58387,315978
41.2,Bau von Gebäuden,88,5580,517,20621,166576
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),87,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,78,6451,704,24708,90438
42.1,Bau von Straßen und  Bahnverkehrsstrecken,34,3524,382,14529,50608
42.11,Bau von Straßen,22,1628,206,6319,24016
42.12,Bau von Bahnverkehrsstrecken,10,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2599,295,8628,29390
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1459,168,5088,17265
42.22,Kabelnetzleitungstiefbau,17,1140,127,3540,12125
42.9,Sonstiger Tiefbau,5,328,27,1550,10440
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,608,74,2045,7395
43.11,Abbrucharbeiten,11,343,44,920,3651
43.12,Vorbereitende Baustellenarbeiten,4,265,29,1125,3744
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,100,3595,387,11013,51570
43.91,Dachdeckerei und Zimmerei,41,1380,141,4134,20499
43.91.1,Dachdeckerei und Bauspenglerei,38,1311,132,3943,20248
43.91.2,Zimmerei und Ingenieurholzbau,3,69,8,191,252
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,59,2215,246,6879,31070
43.99.1,Gerüstbau,13,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,45,1748,198,5137,23973
