month,companies,employees_in_construction_industry,salaries
Januar,288,16527,54271
Februar,288,16382,53069
März,287,16602,58811
April,284,16547,59415
Mai,282,16194,60920
Juni,282,16180,59369
Juli,282,16078,58332
August,281,16234,58387
September,279,16463,60712
Oktober,279,16275,58019
November,278,16281,69420
Dezember,278,16052,57941
