period,companies,employees,working_hours,salaries,turnover_total,turnover_building_construction
2021²,,,,,,
1. Vj.,405,19826,6501,165495,513201,507324
2. Vj.,404,19692,6434,172565,601580,594921
3. Vj.,401,19758,6589,172817,676436,670702
4. Vj.,399,19731,6477,182884,804473,792414
2021,402,19752,26001,693761,2595690,2565361
2022,,,,,,
1. Vj.,411,20282,6694,177833,595284,589180
2. Vj.,412,20562,6804,186368,692863,685385
3. Vj.,411,20595,6846,188021,748175,740098
4. Vj.,408,20535,6718,196508,877401,864916
2022,411,20493.5,27062,748730,2913723,2879579
