wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,278,16052,1285,57941,444039
41.2,Bau von Gebäuden,89,5501,451,20399,224416
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),88,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,77,6483,474,24224,128535
42.1,Bau von Straßen und  Bahnverkehrsstrecken,33,3557,231,13786,76465
42.11,Bau von Straßen,22,1651,123,5559,21023
42.12,Bau von Bahnverkehrsstrecken,9,•,•,•,48838
42.13,Brücken- und Tunnelbau,2,•,•,•,6605
42.2,Leitungstiefbau und Kläranlagenbau,39,2600,224,8916,42962
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1496,122,4980,21248
42.22,Kabelnetzleitungstiefbau,17,1104,102,3935,21714
42.9,Sonstiger Tiefbau,5,326,19,1523,9108
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,648,66,2214,27438
43.11,Abbrucharbeiten,11,345,36,929,8923
43.12,Vorbereitende Baustellenarbeiten,4,303,29,1285,18515
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,97,3420,294,11103,63649
43.91,Dachdeckerei und Zimmerei,39,1321,114,4454,22847
43.91.1,Dachdeckerei und Bauspenglerei,36,1251,106,4256,22305
43.91.2,Zimmerei und Ingenieurholzbau,3,70,8,199,542
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,58,2099,181,6649,40802
43.99.1,Gerüstbau,13,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenb.",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,44,1653,146,5081,33450
