type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,279,16275,1648,58019,362732
1,0,41.2,buildings,88,5567,532,20843,195024
2,1,41.20.1,buildings_excluding_prefabricated_construction,87,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,77,6521,675,24334,99526
5,4,42.1,roads_and_railways,33,3567,360,13871,51341
6,5,42.11,roads,22,1661,195,6039,25957
7,5,42.12,railways,9,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2625,289,8841,35690
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1491,162,5288,21082
11,9,42.22,cable_network_construction,17,1134,128,3554,14608
12,4,42.9,other_underground_construction,5,329,26,1622,12495
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,647,78,2175,16031
16,15,43.11,demolition_work,11,355,43,961,6485
17,15,43.12,preprartory_site_work,4,292,35,1214,9546
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,99,3540,364,10666,52150
20,19,43.91,roofing_and_carpentry,40,1360,142,4068,20055
21,20,43.91.1,roofing_and_plumbing,37,1298,135,3859,19316
22,20,43.91.2,carpentry_and_timber_engineering,3,62,7,210,739
23,19,43.99,still_other_specialized_construction_work,59,2180,222,6598,32096
24,23,43.99.1,scaffolding,13,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,45,1713,180,5065,25443
