type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,287,16602,1702,58811,326948
1,0,41.2,buildings,92,5901,579,21626,174007
2,1,41.20.1,buildings_excluding_prefabricated_construction,91,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,79,6393,687,24174,92079
5,4,42.1,roads_and_railways,35,3475,371,14569,53269
6,5,42.11,roads,23,1606,187,6226,18598
7,5,42.12,railways,10,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2596,289,8157,27688
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1490,167,4927,18859
11,9,42.22,cable_network_construction,17,1106,123,3230,8828
12,4,42.9,other_underground_construction,5,322,27,1448,11122
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,604,68,2066,14391
16,15,43.11,demolition_work,11,356,40,844,4506
17,15,43.12,preprartory_site_work,4,248,28,1223,9885
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,101,3704,368,10945,46471
20,19,43.91,roofing_and_carpentry,42,1496,144,4421,19520
21,20,43.91.1,roofing_and_plumbing,38,1396,133,4146,18036
22,20,43.91.2,carpentry_and_timber_engineering,4,100,11,275,1485
23,19,43.99,still_other_specialized_construction_work,59,2208,224,6524,26951
24,23,43.99.1,scaffolding,13,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,45,1748,179,5091,21557
