month,turnover,turnover_total,turnover_building_construction,turnover_commercial_and_industrial_building_construction,turnover_public_building_construction,turnover_civil_engineering,turnover_commercial_and_industrial_civil_engineering,turnover_road_construction,turnover_other_civil_engineering
Januar,217621,217299,150869,103250,31044,16575,66430,40627,12750
Februar,268042,267863,199175,127050,48365,23760,68688,37943,17197
März,327165,326948,213485,150419,38199,24867,113464,58543,23225
April,339921,339874,243059,171797,41955,29307,96815,54446,21274
Mai,339266,339155,226760,157347,47065,22348,112395,62025,27629
Juni,336178,335933,222495,154379,50137,17979,113437,64467,29890
Juli,340050,339611,224194,156535,48221,19437,115417,62374,26170
August,316194,315978,206768,125957,60387,20425,109210,60232,28037
September,361297,361130,239322,167751,51147,20424,121808,68376,32747
Oktober,362961,362732,238576,156221,58272,24084,124155,71929,30985
November,...,...,...,...,...,...,...,...,...
Dezember,...,...,...,...,...,...,...,...,...
