wz_2008,sector,companies,employees,working_hours,salaries,turnover
41.2/4243.1/43.9,Bauhauptgewerbe insgesamt,279,16275,1648,58019,362732
41.2,Bau von Gebäuden,88,5567,532,20843,195024
41.20.1,Bau von Gebäuden (ohne Fertigteilbau),87,•,•,•,•
41.20.2,Errichtung von Fertigteilbauten,1,•,•,•,•
42,Tiefbau,77,6521,675,24334,99526
42.1,Bau von Straßen und  Bahnverkehrsstrecken,33,3567,360,13871,51341
42.11,Bau von Straßen,22,1661,195,6039,25957
42.12,Bau von Bahnverkehrsstrecken,9,•,•,•,•
42.13,Brücken- und Tunnelbau,2,•,•,•,•
42.2,Leitungstiefbau und Kläranlagenbau,39,2625,289,8841,35690
42.21,"Rohrleitungstiefbau, Brunnen- und Kläranlagenbau",22,1491,162,5288,21082
42.22,Kabelnetzleitungstiefbau,17,1134,128,3554,14608
42.9,Sonstiger Tiefbau,5,329,26,1622,12495
42.91,Wasserbau,2,•,•,•,•
42.99,Sonstiger Tiefbau a.n.g.,3,•,•,•,•
43.1,Abbrucharbeiten und vorbereitende Baustellenarbeiten,15,647,78,2175,16031
43.11,Abbrucharbeiten,11,355,43,961,6485
43.12,Vorbereitende Baustellenarbeiten,4,292,35,1214,9546
43.13,Test- und Suchbohrung,–,–,–,–,–
43.9,Sonstige spezialisierte Bautätigkeiten,99,3540,364,10666,52150
43.91,Dachdeckerei und Zimmerei,40,1360,142,4068,20055
43.91.1,Dachdeckerei und Bauspenglerei,37,1298,135,3859,19316
43.91.2,Zimmerei und Ingenieurholzbau,3,62,7,210,739
43.99,Sonstige spezialisierte Bautätigkeiten a.n.g.,59,2180,222,6598,32096
43.99.1,Gerüstbau,13,•,•,•,•
43.99.2,"Schornstein-, Feuerungs- und Industrieofenbau",1,•,•,•,•
43.99.9,Baugewerbe a.n.g.,45,1713,180,5065,25443
