type_index,type_parent_index,id,branch,companies,employees,working_hours,salaries,construction_industry_revenue
0,-1,41.2 / 42 / 43.1 / 43.9,construction_industry_total,275,16397,1676,64177,373379
1,0,41.2,buildings,81,5362,503,20551,205531
2,1,41.20.1,buildings_excluding_prefabricated_construction,80,0,0,0,0
3,1,41.20.2,prefabricated_buildings,1,0,0,0,0
4,0,42,underground_construction,78,6615,691,29146,112554
5,4,42.1,roads_and_railways,34,3752,385,18230,64477
6,5,42.11,roads,22,1668,199,6546,27305
7,5,42.12,railways,10,0,0,0,0
8,5,42.13,bridges_and_tunnels,2,0,0,0,0
9,4,42.2,pipeline_and_sewage_plant_construction,39,2538,279,9286,38002
10,9,42.21,pipeline_well_and_sewage_plant_construction,22,1472,157,5624,22465
11,9,42.22,cable_network_construction,17,1066,121,3662,15537
12,4,42.9,other_underground_construction,5,325,28,1630,10075
13,12,42.91,hydraulic_construction,2,0,0,0,0
14,12,42.99,still_other_underground_construction,3,0,0,0,0
15,0,43.1,demolition_and_preprartory_site_work,15,722,82,2626,7020
16,15,43.11,demolition_work,12,419,44,1215,3478
17,15,43.12,preprartory_site_work,3,303,38,1411,3543
18,15,43.13,test_and_search_drilling,0,0,0,0,0
19,0,43.9,other_specialized_construction_work,101,3698,399,11854,48273
20,19,43.91,roofing_and_carpentry,37,1257,129,4227,20278
21,20,43.91.1,roofing_and_plumbing,35,0,0,0,0
22,20,43.91.2,carpentry_and_timber_engineering,2,0,0,0,0
23,19,43.99,still_other_specialized_construction_work,64,2441,269,7627,27996
24,23,43.99.1,scaffolding,15,0,0,0,0
25,23,43.99.2,chimney_and_furnace_construction,1,0,0,0,0
26,23,43.99.9,other_building_industry,48,1918,220,5803,20420
